Name,CID,PM,SMILES,L.Trp,L.Tyr,L.Pro,Anthranilate,L.Lys,L.Arg,Indole.3,GGPP,L.Ala,L.Asp,Secologanin,L.Phe,IPP,L.His,Cholesterol
"""alpha-Iminosuccinic acid;NAMN""",C00007565,1,O(C(C(C(C(O[H])=O)=N[H])([H])[H])=O)[H],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"""Quinolinic acid""",C00007381,1,C1(=C(C(=C(C(=N1)C(O[H])=O)C(=O)O[H])[H])[H])[H],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"""Nicotinic acid""",C00000208,1,C1(=C(N=C(C(=C1[H])C(=O)O[H])[H])[H])[H],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"""Wilfordic acid""",C00051763,1,C=1C=NC(=C(C1)C(=O)O)CCC(C)C(=O)O,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"""Edulinic acid;Edulinate""",C00051742,1,C=1C=NC(=C(C1)C(O)=O)C=C(CC)C(=O)O,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"""Evoninic acid""",C00051743,1,C=1C(=C(N=CC1)C(C)C(C)C(=O)O)C(O)=O,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"""Evonine""",C00013120,1,C1(=C(C(=C2C(=N1)C(C(C(=O)OC3(C(C(C4(C5(C3(O[H])C([H])([H])[H])C(C(C(C4(OC(=O)C([H])([H])[H])[H])=O)(C(C(OC2=O)([H])[H])(O5)C([H])([H])[H])[H])(OC(=O)C([H])([H])[H])[H])C(OC(=O)C([H])([H])[H])([H])[H])(OC(=O)C([H])([H])[H])[H])(OC(=O)C([H])([H])[H])[H])[H])(C([H])([H])[H])[H])(C([H])([H])[H])[H])[H])[H])[H],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"""3,6-dihydronicotinic acid""",C00051739,1,C1=CCN=CC1C(=O)O,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"""Anatabine""",C00002017,1,C1(=C(N=C(C(=C1[H])C2(N(C(C(=C(C2([H])[H])[H])[H])([H])[H])[H])[H])[H])[H])[H],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"""Nicotine""",C00002057,1,C1(=C(N=C(C(=C1[H])C2(N(C(C(C2([H])[H])([H])[H])([H])[H])C([H])([H])[H])[H])[H])[H])[H],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"""Nornicotine;(-)-Nornicotine""",C00042792,1,C1(=C(C(=C(N=C1[H])[H])[H])[H])C2(C(C(C(N2[H])([H])[H])([H])[H])([H])[H])[H],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"""Myosmine""",C00002056,1,C1(=C(N=C(C(=C1[H])C2=NC(C(C2([H])[H])([H])[H])([H])[H])[H])[H])[H],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"""(-)-Hygrine""",C00051738,1,C1N(C(CC1)CC(=O)C)C,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
"""(+)-Hygrine""",C00002046,1,C1(C(N(C(C1([H])[H])(C(C(=O)C([H])([H])[H])([H])[H])[H])C([H])([H])[H])([H])[H])([H])[H],0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
"""Cuscohygrine""",C00002034,1,C1(C(N(C(C1([H])[H])(C(C(=O)C(C2(N(C(C(C2([H])[H])([H])[H])([H])[H])C([H])([H])[H])[H])([H])[H])([H])[H])[H])C([H])([H])[H])([H])[H])([H])[H],0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
"""Tropinone""",C00037960,1,C1(C2(C(C(C(C(C1([H])[H])(N2C([H])([H])[H])[H])([H])[H])=O)([H])[H])[H])([H])[H],0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
"""Pseudotropine""",C00002301,1,N1(C2(C(C(C(C1(C(C2([H])[H])([H])[H])[H])([H])[H])(O[H])[H])([H])[H])[H])C([H])([H])[H],0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
"""Calystegine A3""",C00002282,1,N1(C2(C(C(C(C1(C(C2([H])[H])([H])[H])[H])([H])[H])(O[H])[H])(O[H])[H])O[H])[H],0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
"""Tropine""",C00002306,1,N1(C2(C(C(C(C1(C(C2([H])[H])([H])[H])[H])([H])[H])(O[H])[H])([H])[H])[H])C([H])([H])[H],0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
"""Phenylpyruvate""",C00051759,1,C1=CC=CC=C1CC(C(O)=O)=O,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"""Phenyllactic acid""",C00051758,1,C1=CC=CC=C1CC(C(O)=O)O,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"""Littorine""",C00002295,1,N1(C2(C(C(C(C1(C(C2([H])[H])([H])[H])[H])([H])[H])(OC(=O)C([H])(O[H])C(C3=C(C(=C(C(=C3[H])[H])[H])[H])[H])([H])[H])[H])([H])[H])[H])C([H])([H])[H],0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
